# Volt_Dump_NR_o.csv run at 2013-12-31 19:00:00 EST on 16 nodes,,,,,,,,original,,,,,,,
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag,,p.u. to V,angle,v_A_mag,v_A_angle,v_B_mag,v_B_angle,v_C_mag,v_C_angle
n633,2442.768946,-108.917144,-1314.774385,-2123.156537,-1137.360904,2159.061052,,line_632-645,0,0,-113.763652,-86.788938,34.741365,55.227675,
n630,2551.838732,0.026586,-1260.900822,-2183.973852,-1283.445032,2222.941672,,line_645-646,0,0,-34.742503,-55.228597,34.742502,55.228067,
n632,2450.161217,-106.481186,-1315.482398,-2128.070075,-1140.431967,2164.52435,,line_630-632,494.366133,-265.85926,-322.084552,-261.48329,-46.589509,583.283391,
n650,2401.7771,0,-1200.8886,-2080,-1200.8886,2080,,line_632-6321,430.05548,-216.096055,-151.207724,-152.870709,-91.73475,466.304635,
n680,2368.075658,-219.431688,-1352.198696,-2135.102155,-1029.626404,2117.237723,,line_6321-671,425.558008,-213.10543,-133.359143,-143.303481,-93.603167,429.098114,
n684,2363.397757,-219.79879,0,0,-1023.359496,2115.172929,,line_671-680,-0.00004,0.003582,0.002625,-0.002277,-0.002613,-0.001475,
l634,275.057385,-15.517525,-150.938163,-239.458857,-126.75875,245.578036,,line_671-684,49.041652,-39.823368,0,0,-43.19109,60.348,
l645,0,0,-1310.509926,-2105.222762,-1139.238761,2159.780983,,line_684-611,0,0,0,0,-43.190512,60.348396,
l646,0,0,-1311.079735,-2099.946493,-1138.627013,2154.502951,,line_684-652,49.041485,-39.824048,0,0,0,0,
l652,2353.975434,-214.236968,0,0,0,0,,line_692-675,204.468422,-18.322321,39.661896,-57.128661,-46.150081,114.796429,
l671,2368.075479,-219.43161,-1352.198541,-2135.102033,-1029.626367,2117.237534,,line_632-633,64.311111,-49.770721,-57.118618,-21.81918,10.409192,61.754506,
l675,2351.552333,-228.229467,-1361.832318,-2135.753903,-1028.159937,2112.873577,,switch_671-692,221.709821,-70.19002,39.661896,-57.128661,-63.39148,166.66412,
l692,2368.067903,-219.417015,-1352.197668,-2135.097194,-1029.631531,2117.226031,,transformer_633-634,64.310924,-49.772356,-57.119783,-21.818356,10.410451,61.755399,
l611,0,0,0,0,-1015.47813,2113.920236,,fregn650n630,525.264018,-282.475458,-338.188779,-274.55745,-49.792538,623.38413,
l6711,2368.075479,-219.43161,-1352.198541,-2135.102033,-1029.626367,2117.237534,,,,,,,,,
l6321,2430.268292,-134.702205,-1324.105247,-2128.854315,-1110.248715,2152.15381,,,,,,,,,
